Phone timestamp;RR-interval [ms]
2024-08-24T11:16:30.882;486
2024-08-24T11:16:31.368;482
2024-08-24T11:16:31.850;483
2024-08-24T11:16:32.333;481
2024-08-24T11:16:32.814;479
2024-08-24T11:16:33.293;477
2024-08-24T11:16:33.770;476
2024-08-24T11:16:34.246;474
2024-08-24T11:16:34.720;473
2024-08-24T11:16:35.193;471
2024-08-24T11:16:35.664;462
2024-08-24T11:16:36.126;464
2024-08-24T11:16:36.590;463
2024-08-24T11:16:37.053;465
2024-08-24T11:16:37.518;470
2024-08-24T11:16:37.988;471
2024-08-24T11:16:38.459;472
2024-08-24T11:16:38.931;469
2024-08-24T11:16:39.400;314
2024-08-24T11:16:39.714;636
2024-08-24T11:16:40.350;483
2024-08-24T11:16:40.833;479
2024-08-24T11:16:41.312;475
2024-08-24T11:16:41.787;475
2024-08-24T11:16:42.262;473
2024-08-24T11:16:42.735;476
2024-08-24T11:16:43.211;474
2024-08-24T11:16:43.685;473
2024-08-24T11:16:44.158;473
2024-08-24T11:16:44.631;476
2024-08-24T11:16:45.107;476
2024-08-24T11:16:45.583;474
2024-08-24T11:16:46.057;477
2024-08-24T11:16:46.534;475
2024-08-24T11:16:47.009;477
2024-08-24T11:16:47.486;477
2024-08-24T11:16:47.963;477
2024-08-24T11:16:48.440;474
2024-08-24T11:16:48.914;472
2024-08-24T11:16:49.386;470
2024-08-24T11:16:49.856;469
2024-08-24T11:16:50.325;467
2024-08-24T11:16:50.792;468
2024-08-24T11:16:51.260;466
2024-08-24T11:16:51.726;466
2024-08-24T11:16:52.192;467
2024-08-24T11:16:52.659;465
2024-08-24T11:16:53.124;461
2024-08-24T11:16:53.585;459
2024-08-24T11:16:54.044;454
2024-08-24T11:16:54.498;454
2024-08-24T11:16:54.952;453
2024-08-24T11:16:55.405;456
2024-08-24T11:16:55.861;459
2024-08-24T11:16:56.320;461
2024-08-24T11:16:56.781;463
2024-08-24T11:16:57.244;465
2024-08-24T11:16:57.709;469
2024-08-24T11:16:58.178;470
2024-08-24T11:16:58.648;472
2024-08-24T11:16:59.120;469
2024-08-24T11:16:59.589;472
2024-08-24T11:17:00.061;472
2024-08-24T11:17:00.533;476
2024-08-24T11:17:01.009;476
2024-08-24T11:17:01.485;477
2024-08-24T11:17:01.962;474
2024-08-24T11:17:02.436;477
2024-08-24T11:17:02.913;479
2024-08-24T11:17:03.392;479
