Phone timestamp;sensor timestamp [ns];timestamp [ms];ecg [uV]
2024-09-16T19:00:49.535;599620866748378112;0.0;2805
2024-09-16T19:00:49.542;599620866756070400;7.692288;3239
2024-09-16T19:00:49.550;599620866763762688;15.384576;3642
2024-09-16T19:00:49.558;599620866771454976;23.076864;3894
2024-09-16T19:00:49.565;599620866779147392;30.76928;4160
2024-09-16T19:00:49.573;599620866786839680;38.461567;4433
2024-09-16T19:00:49.581;599620866794531968;46.153854;4669
2024-09-16T19:00:49.588;599620866802224256;53.846146;4928
2024-09-16T19:00:49.596;599620866809916544;61.538433;5180
2024-09-16T19:00:49.604;599620866817608832;69.23072;5343
2024-09-16T19:00:49.611;599620866825301248;76.923134;5463
2024-09-16T19:00:49.619;599620866832993536;84.615425;5611
2024-09-16T19:00:49.627;599620866840685824;92.30771;5755
2024-09-16T19:00:49.635;599620866848378112;100.0;5878
2024-09-16T19:00:49.642;599620866856070400;107.69229;6007
2024-09-16T19:00:49.650;599620866863762688;115.384575;6132
2024-09-16T19:00:49.658;599620866871454976;123.076866;6236
2024-09-16T19:00:49.665;599620866879147392;130.76929;6342
2024-09-16T19:00:49.673;599620866886839680;138.46156;6467
2024-09-16T19:00:49.681;599620866894531968;146.15385;6573
2024-09-16T19:00:49.688;599620866902224256;153.84615;6629
2024-09-16T19:00:49.696;599620866909916544;161.53844;6707
2024-09-16T19:00:49.704;599620866917608832;169.23071;7006
2024-09-16T19:00:49.711;599620866925301248;176.92314;7576
2024-09-16T19:00:49.719;599620866932993536;184.61542;7920
2024-09-16T19:00:49.727;599620866940685824;192.30771;7550
2024-09-16T19:00:49.735;599620866948378112;200.0;7079
2024-09-16T19:00:49.742;599620866956070400;207.69229;7122
2024-09-16T19:00:49.750;599620866963762688;215.38458;7173
2024-09-16T19:00:49.758;599620866971454976;223.07686;7067
2024-09-16T19:00:49.765;599620866979147392;230.76929;7150
2024-09-16T19:00:49.773;599620866986839680;238.46156;7261
2024-09-16T19:00:49.781;599620866994531968;246.15385;7261
2024-09-16T19:00:49.788;599620867002224256;253.84615;7289
2024-09-16T19:00:49.796;599620867009916544;261.53842;7341
2024-09-16T19:00:49.804;599620867017608832;269.2307;7364
2024-09-16T19:00:49.811;599620867025301248;276.92313;7390
2024-09-16T19:00:49.819;599620867032993536;284.61542;7428
2024-09-16T19:00:49.827;599620867040685824;292.3077;7458
2024-09-16T19:00:49.835;599620867048378112;300.0;7480
2024-09-16T19:00:49.842;599620867056070400;307.6923;7508
2024-09-16T19:00:49.850;599620867063762688;315.38458;7546
2024-09-16T19:00:49.858;599620867071454976;323.07687;7572
2024-09-16T19:00:49.865;599620867079147392;330.7693;7590
2024-09-16T19:00:49.873;599620867086839680;338.46158;7621
2024-09-16T19:00:49.881;599620867094531968;346.15387;7640
2024-09-16T19:00:49.888;599620867102224256;353.84613;7640
2024-09-16T19:00:49.896;599620867109916544;361.53842;7635
2024-09-16T19:00:49.904;599620867117608832;369.2307;7628
2024-09-16T19:00:49.911;599620867125301248;376.92313;7614
2024-09-16T19:00:49.919;599620867132993536;384.61542;7595
2024-09-16T19:00:49.927;599620867140685824;392.3077;7555
2024-09-16T19:00:49.935;599620867148378112;400.0;7491
2024-09-16T19:00:49.942;599620867156070400;407.6923;7433
2024-09-16T19:00:49.950;599620867163762688;415.38458;7392
2024-09-16T19:00:49.958;599620867171454976;423.07687;7357
2024-09-16T19:00:49.965;599620867179147392;430.7693;7312
2024-09-16T19:00:49.973;599620867186839680;438.46158;7263
2024-09-16T19:00:49.981;599620867194531968;446.15387;7230
2024-09-16T19:00:49.988;599620867202224256;453.84613;7206
2024-09-16T19:00:49.996;599620867209916544;461.53842;7185
2024-09-16T19:00:50.004;599620867217608832;469.2307;7166
2024-09-16T19:00:50.011;599620867225301248;476.92313;7138
