Phone timestamp;RR-interval [ms]
2024-09-16T19:02:07.249;486
2024-09-16T19:02:07.735;484
2024-09-16T19:02:08.219;484
2024-09-16T19:02:08.703;481
2024-09-16T19:02:09.184;482
2024-09-16T19:02:09.666;480
2024-09-16T19:02:10.146;479
2024-09-16T19:02:10.625;480
2024-09-16T19:02:11.105;479
2024-09-16T19:02:11.584;478
2024-09-16T19:02:12.062;478
2024-09-16T19:02:12.540;476
2024-09-16T19:02:13.016;475
2024-09-16T19:02:13.491;473
2024-09-16T19:02:13.964;470
2024-09-16T19:02:14.434;472
2024-09-16T19:02:14.906;468
2024-09-16T19:02:15.374;464
2024-09-16T19:02:15.838;466
2024-09-16T19:02:16.304;464
2024-09-16T19:02:16.768;463
2024-09-16T19:02:17.231;462
2024-09-16T19:02:17.693;459
2024-09-16T19:02:18.152;454
2024-09-16T19:02:18.606;451
2024-09-16T19:02:19.057;451
2024-09-16T19:02:19.508;449
2024-09-16T19:02:19.957;446
2024-09-16T19:02:20.403;446
2024-09-16T19:02:20.849;445
2024-09-16T19:02:21.294;443
2024-09-16T19:02:21.737;445
2024-09-16T19:02:22.182;447
2024-09-16T19:02:22.629;449
2024-09-16T19:02:23.078;451
2024-09-16T19:02:23.529;456
2024-09-16T19:02:23.985;457
2024-09-16T19:02:24.442;459
2024-09-16T19:02:24.901;462
2024-09-16T19:02:25.363;460
2024-09-16T19:02:25.823;457
2024-09-16T19:02:26.280;458
2024-09-16T19:02:26.738;459
2024-09-16T19:02:27.197;455
2024-09-16T19:02:27.652;451
2024-09-16T19:02:28.103;456
2024-09-16T19:02:28.559;453
2024-09-16T19:02:29.012;448
2024-09-16T19:02:29.460;442
2024-09-16T19:02:29.902;439
2024-09-16T19:02:30.341;438
2024-09-16T19:02:30.779;438
2024-09-16T19:02:31.217;436
2024-09-16T19:02:31.653;432
2024-09-16T19:02:32.085;431
2024-09-16T19:02:32.516;432
2024-09-16T19:02:32.948;862
2024-09-16T19:02:33.810;425
2024-09-16T19:02:34.235;421
2024-09-16T19:02:34.656;570
2024-09-16T19:02:35.226;261
2024-09-16T19:02:35.487;418
2024-09-16T19:02:35.905;411
2024-09-16T19:02:36.316;531
2024-09-16T19:02:36.847;370
2024-09-16T19:02:37.217;319
2024-09-16T19:02:37.536;414
2024-09-16T19:02:37.950;408
2024-09-16T19:02:38.358;398
2024-09-16T19:02:38.756;310
2024-09-16T19:02:39.066;285
2024-09-16T19:02:39.351;584
2024-09-16T19:02:39.935;395
2024-09-16T19:02:40.330;387
2024-09-16T19:02:40.717;386
2024-09-16T19:02:41.103;389
