Phone timestamp;HR [bpm];HRV [ms];Breathing interval [rpm];
2024-09-16T19:59:00.270;144
2024-09-16T19:59:01.216;143
2024-09-16T19:59:02.195;143;1,1
2024-09-16T19:59:03.322;142;1,0
2024-09-16T19:59:04.315;142;0,8
2024-09-16T19:59:05.213;142;1,1
2024-09-16T19:59:06.271;143;1,2
2024-09-16T19:59:07.238;143;1,1
2024-09-16T19:59:08.271;143;1,1
2024-09-16T19:59:09.268;143;1,1
2024-09-16T19:59:10.254;142;1,1
2024-09-16T19:59:11.198;142;1,1
2024-09-16T19:59:12.240;142;1,0
2024-09-16T19:59:13.222;142;1,0
2024-09-16T19:59:14.211;142;1,0
2024-09-16T19:59:15.207;142;0,9
2024-09-16T19:59:16.237;142;1,0
2024-09-16T19:59:17.229;143;0,8
2024-09-16T19:59:18.219;143;0,8
2024-09-16T19:59:19.207;143;0,8
2024-09-16T19:59:20.213;143;0,6
2024-09-16T19:59:21.236;143;0,8
2024-09-16T19:59:22.225;142;0,8
2024-09-16T19:59:23.285;142;0,9
2024-09-16T19:59:24.206;141;0,9
2024-09-16T19:59:25.328;141;0,9
2024-09-16T19:59:26.231;142;1,0
2024-09-16T19:59:27.222;142;1,1
2024-09-16T19:59:28.212;144;1,1
2024-09-16T19:59:29.240;144;1,1
2024-09-16T19:59:30.327;144;1,3
2024-09-16T19:59:31.317;143;1,5
2024-09-16T19:59:32.258;142;1,5
2024-09-16T19:59:33.202;141;1,4
2024-09-16T19:59:34.241;142;1,4
2024-09-16T19:59:35.230;142;1,4
2024-09-16T19:59:36.223;142;1,4
2024-09-16T19:59:37.212;142;1,4
2024-09-16T19:59:38.219;142;1,4
2024-09-16T19:59:39.328;142;1,3
2024-09-16T19:59:40.277;142;1,2
2024-09-16T19:59:41.265;142;1,2
2024-09-16T19:59:42.205;142;1,1
2024-09-16T19:59:43.239;142;0,9
2024-09-16T19:59:44.230;142;1,0
2024-09-16T19:59:45.220;141;1,0
2024-09-16T19:59:46.210;140;1,0
2024-09-16T19:59:47.202;140;0,9
2024-09-16T19:59:48.327;141;1,0
2024-09-16T19:59:49.280;141;1,1
2024-09-16T19:59:50.308;142;1,1
2024-09-16T19:59:51.252;142;1,1
2024-09-16T19:59:52.267;142;1,1
2024-09-16T19:59:53.280;141;1,1
2024-09-16T19:59:54.315;141;1,1
2024-09-16T19:59:55.297;142;1,1
2024-09-16T19:59:56.248;142;0,9
2024-09-16T19:59:57.306;143;0,9
2024-09-16T19:59:58.318;143;0,9
2024-09-16T19:59:59.305;143;0,9
2024-09-16T20:00:00.342;142;0,8
2024-09-16T20:00:01.248;142;0,6
2024-09-16T20:00:02.351;142;0,7
2024-09-16T20:00:03.222;143;0,7
2024-09-16T20:00:04.309;143;0,6
2024-09-16T20:00:05.198;143;0,6
2024-09-16T20:00:06.235;143;0,6
2024-09-16T20:00:07.274;144;0,7
2024-09-16T20:00:08.264;144;0,6
2024-09-16T20:00:09.250;144;0,6
2024-09-16T20:00:10.377;145;0,7
2024-09-16T20:00:11.257;145;0,6
2024-09-16T20:00:12.249;146;0,7
2024-09-16T20:00:13.308;147;0,9
2024-09-16T20:00:14.248;146;0,9
2024-09-16T20:00:15.262;145;2,0
2024-09-16T20:00:16.358;142;3,3
2024-09-16T20:00:17.219;137;3,9
2024-09-16T20:00:18.210;135;3,9
2024-09-16T20:00:19.241;135;4,1
2024-09-16T20:00:20.359;135;4,2
2024-09-16T20:00:21.221;136;4,2
2024-09-16T20:00:22.252;136;4,2
2024-09-16T20:00:23.245;136;4,2
2024-09-16T20:00:24.353;137;4,2
2024-09-16T20:00:25.344;138;4,2
2024-09-16T20:00:26.241;139;4,2
2024-09-16T20:00:27.296;140;4,2
2024-09-16T20:00:28.245;141;3,7
2024-09-16T20:00:29.401;141;2,3
2024-09-16T20:00:30.293;142;2,0
2024-09-16T20:00:31.235;142;1,9
2024-09-16T20:00:32.242;142;1,4
2024-09-16T20:00:33.237;143;1,2
2024-09-16T20:00:34.283;143;1,3
2024-09-16T20:00:35.216;143;1,2
2024-09-16T20:00:36.227;143;1,2
2024-09-16T20:00:37.259;143;1,0
2024-09-16T20:00:38.277;143;0,9
2024-09-16T20:00:39.288;143;0,9
2024-09-16T20:00:40.284;143;0,8
2024-09-16T20:00:41.221;144;0,7
2024-09-16T20:00:42.235;145;1,1
2024-09-16T20:00:43.235;145;1,1
2024-09-16T20:00:44.237;146;1,0
2024-09-16T20:00:45.235;147;1,5
2024-09-16T20:00:46.266;147;1,7
2024-09-16T20:00:47.230;148;1,8
2024-09-16T20:00:48.226;148;1,8
2024-09-16T20:00:49.328;149;1,9
2024-09-16T20:00:50.221;151;1,9
2024-09-16T20:00:51.258;151;1,9
2024-09-16T20:00:52.240;153;1,9
2024-09-16T20:00:53.242;153;1,8
2024-09-16T20:00:54.235;154;1,8
2024-09-16T20:00:55.268;155;1,8
2024-09-16T20:00:56.236;155;1,6
2024-09-16T20:00:57.226;156;1,2
2024-09-16T20:00:58.213;156;1,2
2024-09-16T20:00:59.250;157;1,1
2024-09-16T20:01:00.266;157;1,0
2024-09-16T20:01:01.230;157;1,1
2024-09-16T20:01:02.265;157;1,1
2024-09-16T20:01:03.205;157;1,1
2024-09-16T20:01:04.272;158;1,1
2024-09-16T20:01:05.262;158;1,1
2024-09-16T20:01:06.221;158;1,1
2024-09-16T20:01:07.238;158;1,0
2024-09-16T20:01:08.227;158;1,0
2024-09-16T20:01:09.263;158;0,9
2024-09-16T20:01:10.232;158;0,9
2024-09-16T20:01:11.228;158;0,9
2024-09-16T20:01:12.230;159;0,9
2024-09-16T20:01:13.267;159;0,7
2024-09-16T20:01:14.252;159;0,6
2024-09-16T20:01:15.223;159;0,6
2024-09-16T20:01:16.239;159;0,6
2024-09-16T20:01:17.225;159;0,6
2024-09-16T20:01:18.347;159;0,6
2024-09-16T20:01:19.228;159;0,7
2024-09-16T20:01:20.213;160;0,7
2024-09-16T20:01:21.283;160;0,7
2024-09-16T20:01:22.310;161;0,6
2024-09-16T20:01:23.251;161;0,7
2024-09-16T20:01:24.340;162;0,7
2024-09-16T20:01:25.225;162;0,6
2024-09-16T20:01:26.224;162;0,8
2024-09-16T20:01:27.262;161;0,8
2024-09-16T20:01:28.296;161;0,9
2024-09-16T20:01:29.268;161;0,9
2024-09-16T20:01:30.226;161;0,9
2024-09-16T20:01:31.264;161;0,9
2024-09-16T20:01:32.230;162;0,9
2024-09-16T20:01:33.222;162;0,9
2024-09-16T20:01:34.212;162;0,9
2024-09-16T20:01:35.226;163;0,9
2024-09-16T20:01:36.287;163;0,9
2024-09-16T20:01:37.229;163;1,2
2024-09-16T20:01:38.222;164;1,1
2024-09-16T20:01:39.248;164;1,1
2024-09-16T20:01:40.271;164;1,0
2024-09-16T20:01:41.248;164;1,1
2024-09-16T20:01:42.239;164;1,1
2024-09-16T20:01:43.209;164;1,1
2024-09-16T20:01:44.222;165;1,2
2024-09-16T20:01:45.258;165;1,1
2024-09-16T20:01:46.249;165;1,1
2024-09-16T20:01:47.220;165;1,0
2024-09-16T20:01:48.204;165;0,8
2024-09-16T20:01:49.261;164;0,9
2024-09-16T20:01:50.259;164;0,9
2024-09-16T20:01:51.247;164;0,9
2024-09-16T20:01:52.218;164;0,7
2024-09-16T20:01:53.266;164;0,7
2024-09-16T20:01:54.257;164;0,7
2024-09-16T20:01:55.246;164;0,6
2024-09-16T20:01:56.219;164;0,6
2024-09-16T20:01:57.204;164;0,6
2024-09-16T20:01:58.310;163;0,9
2024-09-16T20:01:59.255;163;1,1
2024-09-16T20:02:00.240;163;1,1
2024-09-16T20:02:01.279;163;1,1
2024-09-16T20:02:02.198;163;1,1
2024-09-16T20:02:03.259;163;1,1
2024-09-16T20:02:04.250;163;1,1
2024-09-16T20:02:05.243;163;1,1
2024-09-16T20:02:06.205;163;1,2
2024-09-16T20:02:07.243;162;1,2
2024-09-16T20:02:08.257;162;1,2
2024-09-16T20:02:09.249;163;0,9
2024-09-16T20:02:10.304;163;0,9
2024-09-16T20:02:11.209;163;0,9
2024-09-16T20:02:12.261;164;0,9
2024-09-16T20:02:13.248;164;0,9
2024-09-16T20:02:14.279;164;0,9
2024-09-16T20:02:15.207;164;0,9
2024-09-16T20:02:16.253;165;0,8
2024-09-16T20:02:17.258;165;0,8
2024-09-16T20:02:18.293;165;0,7
2024-09-16T20:02:19.278;165;0,8
2024-09-16T20:02:20.200;165;0,8
2024-09-16T20:02:21.264;165;0,7
2024-09-16T20:02:22.248;165;0,7
2024-09-16T20:02:23.241;166;0,8
2024-09-16T20:02:24.207;166;0,8
2024-09-16T20:02:25.243;166;0,8
2024-09-16T20:02:26.269;166;0,8
2024-09-16T20:02:27.242;166;0,8
2024-09-16T20:02:28.231;166;0,8
2024-09-16T20:02:29.205;166;0,9
2024-09-16T20:02:30.238;167;0,8
2024-09-16T20:02:31.247;167;0,8
2024-09-16T20:02:32.241;167;0,8
2024-09-16T20:02:33.206;167;0,6
2024-09-16T20:02:34.244;167;0,6
2024-09-16T20:02:35.259;167;0,6
2024-09-16T20:02:36.244;167;0,6
2024-09-16T20:02:37.231;167;0,6
2024-09-16T20:02:38.198;167;0,7
2024-09-16T20:02:39.241;167;0,9
2024-09-16T20:02:40.271;167;0,8
2024-09-16T20:02:41.218;167;0,8
2024-09-16T20:02:42.234;167;0,8
2024-09-16T20:02:43.244;167;0,8
2024-09-16T20:02:44.236;166;0,9
2024-09-16T20:02:45.223;166;0,9
2024-09-16T20:02:46.232;166;0,9
2024-09-16T20:02:47.200;166;0,8
2024-09-16T20:02:48.237;166;0,9
2024-09-16T20:02:49.249;166;0,8
2024-09-16T20:02:50.241;167;0,7
2024-09-16T20:02:51.212;167;0,7
2024-09-16T20:02:52.247;168;0,9
2024-09-16T20:02:53.234;168;0,9
2024-09-16T20:02:54.245;168;0,9
2024-09-16T20:02:55.236;168;0,9
2024-09-16T20:02:56.223;168;0,9
2024-09-16T20:02:57.241;169;0,9
2024-09-16T20:02:58.287;168;0,8
2024-09-16T20:02:59.239;168;0,8
2024-09-16T20:03:00.227;168;0,8
2024-09-16T20:03:01.264;169;0,9
2024-09-16T20:03:02.229;169;0,7
2024-09-16T20:03:03.295;168;0,8
2024-09-16T20:03:04.229;168;0,9
2024-09-16T20:03:05.221;168;0,9
2024-09-16T20:03:06.241;167;0,9
2024-09-16T20:03:07.280;167;0,9
2024-09-16T20:03:08.291;167;0,9
2024-09-16T20:03:09.271;167;0,9
2024-09-16T20:03:10.262;166;0,9
2024-09-16T20:03:11.273;166;0,8
2024-09-16T20:03:12.266;167;0,9
2024-09-16T20:03:13.229;167;0,9
2024-09-16T20:03:14.290;167;0,6
2024-09-16T20:03:15.235;167;0,6
2024-09-16T20:03:16.279;167;0,6
2024-09-16T20:03:17.237;167;0,6
2024-09-16T20:03:18.223;167;0,6
2024-09-16T20:03:19.247;167;0,6
2024-09-16T20:03:20.229;167;0,6
2024-09-16T20:03:21.283;167;0,6
2024-09-16T20:03:22.233;168;0,7
2024-09-16T20:03:23.222;168;0,7
2024-09-16T20:03:24.255;168;0,7
2024-09-16T20:03:25.228;168;0,7
2024-09-16T20:03:26.241;169;0,6
2024-09-16T20:03:27.232;169;0,6
2024-09-16T20:03:28.261;169;0,6
2024-09-16T20:03:29.233;169;0,6
2024-09-16T20:03:30.224;168;0,6
2024-09-16T20:03:31.234;168;0,6
2024-09-16T20:03:32.221;168;0,7
2024-09-16T20:03:33.259;168;0,8
2024-09-16T20:03:34.228;168;0,9
2024-09-16T20:03:35.268;168;1,0
2024-09-16T20:03:36.226;168;1,1
2024-09-16T20:03:37.308;168;1,1
2024-09-16T20:03:38.258;168;1,1
2024-09-16T20:03:39.225;168;1,1
2024-09-16T20:03:40.239;168;1,1
2024-09-16T20:03:41.221;168;1,1
2024-09-16T20:03:42.264;168;1,0
2024-09-16T20:03:43.229;168;0,9
2024-09-16T20:03:44.274;168;0,8
2024-09-16T20:03:45.228;169;0,6
2024-09-16T20:03:46.265;169;0,6
2024-09-16T20:03:47.256;169;0,6
2024-09-16T20:03:48.312;169;0,6
2024-09-16T20:03:49.247;169;0,6
2024-09-16T20:03:50.225;169;0,6
2024-09-16T20:03:51.302;169;0,6
2024-09-16T20:03:52.316;169;0,6
2024-09-16T20:03:53.216;169;0,6
2024-09-16T20:03:54.230;169;0,4
2024-09-16T20:03:55.268;169;0,5
2024-09-16T20:03:56.266;169;0,5
2024-09-16T20:03:57.270;169;0,5
2024-09-16T20:03:58.307;169;0,5
2024-09-16T20:03:59.271;169;0,5
2024-09-16T20:04:00.252;170;0,5
2024-09-16T20:04:01.253;170;0,4
2024-09-16T20:04:02.217;170;0,4
2024-09-16T20:04:03.229;169;0,4
2024-09-16T20:04:04.268;170;0,4
2024-09-16T20:04:05.257;170;0,4
2024-09-16T20:04:06.224;170;0,4
2024-09-16T20:04:07.211;170;0,3
2024-09-16T20:04:08.226;170;0,3
2024-09-16T20:04:09.267;170;0,4
2024-09-16T20:04:10.248;171;0,5
2024-09-16T20:04:11.333;171;0,5
2024-09-16T20:04:12.268;171;0,7
2024-09-16T20:04:13.266;170;0,7
2024-09-16T20:04:14.254;171;0,7
2024-09-16T20:04:15.253;171;0,8
2024-09-16T20:04:16.224;171;0,8
2024-09-16T20:04:17.232;171;0,8
2024-09-16T20:04:18.261;171;0,8
2024-09-16T20:04:19.246;170;0,9
2024-09-16T20:04:20.215;170;0,8
2024-09-16T20:04:21.251;169;0,9
2024-09-16T20:04:22.337;169;0,8
2024-09-16T20:04:23.253;168;0,8
2024-09-16T20:04:24.245;168;0,8
2024-09-16T20:04:25.209;168;0,7
2024-09-16T20:04:26.275;169;0,8
2024-09-16T20:04:27.240;169;0,8
2024-09-16T20:04:28.254;169;0,8
2024-09-16T20:04:29.218;169;0,7
2024-09-16T20:04:30.210;169;0,8
2024-09-16T20:04:31.314;169;0,6
2024-09-16T20:04:32.261;169;0,8
