Phone timestamp;HR [bpm];HRV [ms];Breathing interval [rpm];
2024-09-17T06:37:16.732;80
2024-09-17T06:37:17.721;81
2024-09-17T06:37:18.713;81
2024-09-17T06:37:19.750;83;5,3
2024-09-17T06:37:20.764;83;4,9
2024-09-17T06:37:21.797;84;5,5
2024-09-17T06:37:22.839;83;13,1
2024-09-17T06:37:23.737;83;12,4
2024-09-17T06:37:24.748;83;12,2
2024-09-17T06:37:25.812;83;11,9
2024-09-17T06:37:26.731;84;11,7
2024-09-17T06:37:27.714;84;11,6
2024-09-17T06:37:28.772;86;11,3
2024-09-17T06:37:29.774;87;10,8
2024-09-17T06:37:30.780;88;10,9
2024-09-17T06:37:31.752;90;10,9
2024-09-17T06:37:32.712;91;10,7
2024-09-17T06:37:33.783;92;10,5
2024-09-17T06:37:34.756;92;10,5
2024-09-17T06:37:35.759;90;14,7
2024-09-17T06:37:36.751;83;22,3
2024-09-17T06:37:37.704;81;24,3
2024-09-17T06:37:38.774;79;24,3
2024-09-17T06:37:39.805;79;24,3
2024-09-17T06:37:40.804;78;26,0
2024-09-17T06:37:41.760;77;26,1
2024-09-17T06:37:42.748;77;26,1
2024-09-17T06:37:43.761;77;26,0
2024-09-17T06:37:44.835;77;25,1
2024-09-17T06:37:45.839;75;25,7
2024-09-17T06:37:46.782;75;25,5
2024-09-17T06:37:47.820;75;25,6
2024-09-17T06:37:48.810;75;26,3
2024-09-17T06:37:49.803;75;26,2
2024-09-17T06:37:50.712;76;26,2
2024-09-17T06:37:51.708;76;26,2
2024-09-17T06:37:52.738;77;26,9
2024-09-17T06:37:53.751;78;27,1
2024-09-17T06:37:54.740;79;27,3
2024-09-17T06:37:55.716;82;27,7
2024-09-17T06:37:56.777;83;27,6
2024-09-17T06:37:57.753;85;22,2
2024-09-17T06:37:58.738;86;19,1
2024-09-17T06:37:59.731;87;16,6
2024-09-17T06:38:00.697;87;16,6
2024-09-17T06:38:01.765;87;16,6
2024-09-17T06:38:02.729;80;26,6
2024-09-17T06:38:03.748;79;30,5
2024-09-17T06:38:04.706;77;30,5
2024-09-17T06:38:05.739;76;33,4
2024-09-17T06:38:06.752;77;35,8
2024-09-17T06:38:07.792;77;36,1
2024-09-17T06:38:08.830;78;36,1
2024-09-17T06:38:09.822;78;36,1
2024-09-17T06:38:10.800;77;36,9
2024-09-17T06:38:11.750;76;41,0
2024-09-17T06:38:12.748;75;41,0
2024-09-17T06:38:13.713;74;41,0
2024-09-17T06:38:14.763;74;41,0
2024-09-17T06:38:15.765;72;40,8
2024-09-17T06:38:16.742;71;40,8
2024-09-17T06:38:17.730;70;40,6
2024-09-17T06:38:18.702;70;41,6
2024-09-17T06:38:19.760;70;41,5
2024-09-17T06:38:20.757;70;41,4
2024-09-17T06:38:21.753;70;41,4
2024-09-17T06:38:22.759;70;41,4
2024-09-17T06:38:23.743;69;42,3
2024-09-17T06:38:24.766;68;42,3
2024-09-17T06:38:25.748;68;42,3
2024-09-17T06:38:26.778;69;42,3
2024-09-17T06:38:27.703;69;41,4
2024-09-17T06:38:28.738;68;36,6
2024-09-17T06:38:29.849;68;34,5
2024-09-17T06:38:30.834;68;35,3
2024-09-17T06:38:31.825;68;32,6
2024-09-17T06:38:32.816;69;29,5
2024-09-17T06:38:33.831;69;29,1
2024-09-17T06:38:34.721;69;29,1
2024-09-17T06:38:35.832;68;29,1
2024-09-17T06:38:36.719;69;20,6
2024-09-17T06:38:37.736;69;20,6
2024-09-17T06:38:38.730;69;21,0
2024-09-17T06:38:39.743;69;21,0
2024-09-17T06:38:40.738;70;21,5
2024-09-17T06:38:41.742;70;20,8
2024-09-17T06:38:42.764;70;22,2
2024-09-17T06:38:43.754;70;20,0
2024-09-17T06:38:44.737;70;19,9
2024-09-17T06:38:45.729;70;19,9
2024-09-17T06:38:46.741;71;22,9
2024-09-17T06:38:47.723;72;23,9
2024-09-17T06:38:48.750;73;22,1
2024-09-17T06:38:49.729;74;22,1
2024-09-17T06:38:50.768;75;22,1
2024-09-17T06:38:51.745;74;23,3
2024-09-17T06:38:52.851;74;25,7
2024-09-17T06:38:53.745;73;25,7
2024-09-17T06:38:54.783;73;23,7
2024-09-17T06:38:55.790;73;23,8
2024-09-17T06:38:56.723;73;23,7
2024-09-17T06:38:57.792;73;23,7
2024-09-17T06:38:58.783;73;23,9
2024-09-17T06:38:59.768;72;23,9
2024-09-17T06:39:00.757;71;24,2
2024-09-17T06:39:01.754;71;24,2
2024-09-17T06:39:02.736;70;25,6
2024-09-17T06:39:03.726;70;25,6
2024-09-17T06:39:04.756;70;25,6
2024-09-17T06:39:05.760;70;25,8
2024-09-17T06:39:06.749;71;25,1
2024-09-17T06:39:07.737;72;25,1
2024-09-17T06:39:08.744;72;25,1
2024-09-17T06:39:09.730;72;25,6
2024-09-17T06:39:10.758;72;26,3
2024-09-17T06:39:11.745;71;24,5
2024-09-17T06:39:12.712;71;23,6
2024-09-17T06:39:13.768;71;25,5
2024-09-17T06:39:14.728;71;25,6
2024-09-17T06:39:15.741;71;25,6
2024-09-17T06:39:16.730;72;24,4
2024-09-17T06:39:17.805;72;20,2
2024-09-17T06:39:18.799;72;20,2
2024-09-17T06:39:19.773;72;19,8
2024-09-17T06:39:20.789;72;20,0
2024-09-17T06:39:21.776;72;20,4
2024-09-17T06:39:22.765;72;21,2
2024-09-17T06:39:23.816;72;21,0
2024-09-17T06:39:24.736;71;21,8
2024-09-17T06:39:25.711;72;21,5
2024-09-17T06:39:26.704;73;21,0
2024-09-17T06:39:27.761;74;21,1
2024-09-17T06:39:28.718;75;21,0
2024-09-17T06:39:29.717;76;21,0
2024-09-17T06:39:30.729;78;20,5
2024-09-17T06:39:31.763;79;20,5
2024-09-17T06:39:32.730;81;18,9
2024-09-17T06:39:33.719;81;17,8
2024-09-17T06:39:34.716;82;17,9
2024-09-17T06:39:35.722;83;15,0
2024-09-17T06:39:36.758;84;14,7
2024-09-17T06:39:37.788;83;14,8
2024-09-17T06:39:38.789;83;17,7
2024-09-17T06:39:39.729;82;18,0
2024-09-17T06:39:40.762;81;19,6
2024-09-17T06:39:41.754;80;19,4
2024-09-17T06:39:42.713;79;19,1
2024-09-17T06:39:43.729;78;20,1
2024-09-17T06:39:44.720;77;20,0
2024-09-17T06:39:45.761;76;19,1
2024-09-17T06:39:46.732;74;18,5
2024-09-17T06:39:47.714;73;18,5
2024-09-17T06:39:48.730;73;18,5
2024-09-17T06:39:49.765;73;17,9
2024-09-17T06:39:50.747;72;18,5
2024-09-17T06:39:51.729;72;18,4
2024-09-17T06:39:52.775;71;20,2
2024-09-17T06:39:53.734;71;20,4
2024-09-17T06:39:54.759;71;20,4
2024-09-17T06:39:55.731;70;21,0
2024-09-17T06:39:56.714;70;21,7
2024-09-17T06:39:57.733;70;21,7
2024-09-17T06:39:58.764;70;25,9
2024-09-17T06:39:59.758;69;29,5
2024-09-17T06:40:00.716;69;29,4
2024-09-17T06:40:01.704;69;30,4
2024-09-17T06:40:02.719;68;31,4
2024-09-17T06:40:03.750;68
2024-09-17T06:40:04.745;68;29,9
2024-09-17T06:40:05.745;68;30,7
2024-09-17T06:40:06.789;68;29,7
2024-09-17T06:40:07.768;67;29,7
2024-09-17T06:40:08.757;67;29,7
2024-09-17T06:40:09.784;67;28,8
2024-09-17T06:40:10.760;66;28,8
2024-09-17T06:40:11.772;66;29,1
2024-09-17T06:40:12.760;66;29,1
2024-09-17T06:40:13.749;67;28,7
2024-09-17T06:40:14.712;67;29,0
2024-09-17T06:40:15.771;67;28,5
2024-09-17T06:40:16.743;67;29,4
2024-09-17T06:40:17.762;65;28,8
2024-09-17T06:40:18.750;65;27,4
2024-09-17T06:40:19.710;65;27,4
